publisher,route_family,route_kind,outcome,route_status,sample_size,attempts,successes,limitation
unattributed,browser_email_form,email_delivery,email_requested,verified,17,135,51,"route history has no publisher, duration or cost fields"
unattributed,browser_email_form,email_delivery,email_required,inferred,103,612,73,"route history has no publisher, duration or cost fields"
unattributed,browser_email_form,pdf_download,downloaded,verified,1,2,1,"route history has no publisher, duration or cost fields"
unattributed,browser_listing_hub,email_delivery,email_required,inferred,1,1,0,"route history has no publisher, duration or cost fields"
unattributed,browser_longread_capture,onsite_report,captured,verified,1,1,1,"route history has no publisher, duration or cost fields"
unattributed,browser_onsite_report,email_delivery,email_requested,verified,4,21,12,"route history has no publisher, duration or cost fields"
unattributed,browser_onsite_report,email_delivery,email_required,inferred,6,10,1,"route history has no publisher, duration or cost fields"
unattributed,browser_onsite_report,onsite_report,captured,verified,19,156,117,"route history has no publisher, duration or cost fields"
unattributed,browser_onsite_report,pdf_download,downloaded,verified,30,147,62,"route history has no publisher, duration or cost fields"
unattributed,browser_pdf,email_delivery,email_requested,verified,1,4,4,"route history has no publisher, duration or cost fields"
unattributed,browser_pdf,pdf_download,downloaded,verified,1,2,2,"route history has no publisher, duration or cost fields"
unattributed,browser_pdf_click,email_delivery,email_requested,verified,3,21,6,"route history has no publisher, duration or cost fields"
unattributed,browser_pdf_click,email_delivery,email_required,inferred,7,44,9,"route history has no publisher, duration or cost fields"
unattributed,browser_pdf_click,pdf_download,downloaded,verified,8,12,12,"route history has no publisher, duration or cost fields"
unattributed,browser_pdf_download,onsite_report,captured,verified,1,13,10,"route history has no publisher, duration or cost fields"
unattributed,browser_pdf_download,pdf_download,downloaded,verified,1,1,1,"route history has no publisher, duration or cost fields"
unattributed,browser_preflight_js_pdf_probe,pdf_download,downloaded,verified,10,29,12,"route history has no publisher, duration or cost fields"
unattributed,browser_tracker_redirect,email_delivery,email_required,inferred,1,1,0,"route history has no publisher, duration or cost fields"
unattributed,browser_tracker_redirect,onsite_report,captured,inferred,1,1,0,"route history has no publisher, duration or cost fields"
unattributed,browser_tracker_redirect,pdf_download,downloaded,verified,4,5,5,"route history has no publisher, duration or cost fields"
unattributed,direct_pdf_probe,pdf_download,downloaded,verified,47,131,131,"route history has no publisher, duration or cost fields"
unattributed,http_pdf_probe,pdf_download,downloaded,verified,1,1,1,"route history has no publisher, duration or cost fields"
unattributed,onsite_capture,pdf_download,downloaded,verified,1,2,1,"route history has no publisher, duration or cost fields"
unattributed,onsite_report,email_delivery,email_required,inferred,1,1,0,"route history has no publisher, duration or cost fields"
unattributed,pdf_download,email_delivery,email_requested,verified,1,1,1,"route history has no publisher, duration or cost fields"
unattributed,pdf_download,email_delivery,email_required,inferred,1,1,0,"route history has no publisher, duration or cost fields"
unattributed,pdf_download,onsite_report,captured,inferred,1,1,0,"route history has no publisher, duration or cost fields"
unattributed,pdf_download,pdf_download,downloaded,verified,3,6,5,"route history has no publisher, duration or cost fields"
unattributed,report_page_pdf_link_probe,pdf_download,downloaded,verified,19,23,21,"route history has no publisher, duration or cost fields"
