route_family,acquisition_records,attempts,browser_steps,structured_browser_records,onsite_capture_records,limitation
browser_email_form,121,749,631,107,0,launch/navigation/screenshot/network/duration fields not retained
browser_listing_hub,1,1,8,1,0,launch/navigation/screenshot/network/duration fields not retained
browser_longread_capture,1,1,8,1,1,launch/navigation/screenshot/network/duration fields not retained
browser_onsite_report,59,334,252,57,33,launch/navigation/screenshot/network/duration fields not retained
browser_pdf,2,6,8,2,0,launch/navigation/screenshot/network/duration fields not retained
browser_pdf_click,18,77,95,17,0,launch/navigation/screenshot/network/duration fields not retained
browser_pdf_download,2,14,5,2,1,launch/navigation/screenshot/network/duration fields not retained
browser_preflight_js_pdf_probe,10,29,30,0,0,launch/navigation/screenshot/network/duration fields not retained
browser_tracker_redirect,6,7,23,5,1,launch/navigation/screenshot/network/duration fields not retained
direct_pdf_probe,47,131,47,0,0,launch/navigation/screenshot/network/duration fields not retained
http_pdf_probe,1,1,1,0,0,launch/navigation/screenshot/network/duration fields not retained
onsite_capture,1,2,3,1,1,launch/navigation/screenshot/network/duration fields not retained
onsite_report,1,1,3,1,1,launch/navigation/screenshot/network/duration fields not retained
pdf_download,6,9,19,6,1,launch/navigation/screenshot/network/duration fields not retained
report_page_pdf_link_probe,19,23,57,0,0,launch/navigation/screenshot/network/duration fields not retained
