report,refinement_records,valid_candidates,model,limitation
2412-activate-technology-and-media-outlook-2025-ecommerce-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
artlist-artlist-ai-trend-report-2026-acig-pdf,2,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
content-square-what-s-next-in-cx-2026-digital-customer-experience-trends-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
deloitte-tech-trends-2026-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
dentsu-creative-trends-2026-generative-realities-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
ias-industry-pulse-report-2026-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
julius-baer-secular-outlook-2026-acig-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
meltwater-marketing-trends-2026-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
morningstar-2026-outlook-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
oecd-health-at-a-glance-2025-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
report_analysis,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
report_analysis,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
report_analysis,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
report_analysis,2,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
report_analysis,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
report_analysis,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
report_analysis,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
report_analysis,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
report_analysis,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
report_analysis,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
report_analysis,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
sensor-tower-predictions-for-the-digital-economy-in-2026-acig-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
worldpanel-brand-footprint-2025-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
attest-uk-consumer-trends-report-2026-acig-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
braze-2026-predictions-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
deloitte-tech-trends-2026-acig-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
dentsu-creative-trends-2026-generative-realities-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
devoteam-trend-report-2026-acig-pdf,3,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
ias-industry-pulse-report-2026-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
julius-baer-secular-outlook-2026-acig-pdf,6,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
kantar-media-reactions-2025-apac-webinar-deck-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
meltwater-marketing-trends-2026-acig-pdf,4,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
morningstar-2026-outlook-acig-pdf,7,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
oecd-economic-outlook-acig-pdf,6,6,gpt-5-mini,No .qa.json visual-defect sidecars retained.
oecd-health-at-a-glance-2025-acig-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
sensor-tower-predictions-for-the-digital-economy-in-2026-acig-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
worldpanel-brand-footprint-2025-acig-pdf,2,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
attest-uk-consumer-trends-report-2026-acig-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
deloitte-tech-trends-2026-acig-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
ias-industry-pulse-report-2026-acig-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
kantar-media-reactions-2025-apac-webinar-deck-acig-pdf,4,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
oecd-economic-outlook-acig-pdf,9,9,gpt-5-mini,No .qa.json visual-defect sidecars retained.
oecd-health-at-a-glance-2025-acig-pdf,11,7,gpt-5-mini,No .qa.json visual-defect sidecars retained.
red-antler-state-of-brand-2026-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
sensor-tower-predictions-for-the-digital-economy-in-2026-acig-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
worldpanel-brand-footprint-2025-acig-pdf,2,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
attest-uk-consumer-trends-report-2026-acig-pdf,4,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
deloitte-tech-trends-2026-acig-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
ias-industry-pulse-report-2026-acig-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
kantar-media-reactions-2025-apac-webinar-deck-acig-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
morningstar-2026-outlook-acig-pdf,6,6,gpt-5-mini,No .qa.json visual-defect sidecars retained.
oecd-economic-outlook-acig-pdf,6,6,gpt-5-mini,No .qa.json visual-defect sidecars retained.
oecd-health-at-a-glance-2025-acig-pdf,14,9,gpt-5-mini,No .qa.json visual-defect sidecars retained.
sensor-tower-predictions-for-the-digital-economy-in-2026-acig-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
worldpanel-brand-footprint-2025-acig-pdf,1,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
attest-uk-consumer-trends-report-2026-acig-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
deloitte-tech-trends-2026-acig-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
dentsu-creative-trends-2026-generative-realities-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
ias-industry-pulse-report-2026-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
julius-baer-secular-outlook-2026-acig-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
kantar-media-reactions-2025-apac-webinar-deck-acig-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
morningstar-2026-outlook-acig-pdf,7,6,gpt-5-mini,No .qa.json visual-defect sidecars retained.
oecd-economic-outlook-acig-pdf,6,6,gpt-5-mini,No .qa.json visual-defect sidecars retained.
oecd-health-at-a-glance-2025-acig-pdf,9,7,gpt-5-mini,No .qa.json visual-defect sidecars retained.
sensor-tower-predictions-for-the-digital-economy-in-2026-acig-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
worldpanel-brand-footprint-2025-acig-pdf,2,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
2023-email-sms-and-push-report-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
2408-g2-grid-report-for-enterprise-search-software-fall-2024-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
5-food-and-drink-mega-trends-2026-27-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
90bbb6f141259489c1a1cfebc200a905a628186c-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
artlist-artlist-ai-trend-report-2026-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
attest-uk-consumer-trends-report-2026-acig-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
bain-report-global-healthcare-private-equity-2025-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
bain-report-global-private-equity-report-2026-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
capgemini-2026-retail-trends-acig-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
cf091e263a2b6ed29222c5c60b6ed133a90fbe0c-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
cm-agencyfactsheet-updated-12-4-2024-1-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
consumer-search-behavior-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
content-square-what-s-next-in-cx-2026-digital-customer-experience-trends-acig-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
deloitte-tech-trends-2026-acig-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
dentsu-creative-trends-2026-generative-realities-acig-pdf,6,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
digital-2024-the-gambia-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
docu-202604-robeco-stewardship-report-2025-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
everything-you-need-to-know-about-experience-analytics-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
from-ai-to-lmics-four-trends-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
guide-coronavirus-impact-rebound-strategies-pdf,1,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
guide-how-to-improve-your-b2b-site-performance-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
ias-industry-pulse-report-2026-acig-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
julius-baer-secular-outlook-2026-acig-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
kantar-media-reactions-2025-apac-webinar-deck-acig-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
kantar-media-reactions-2025-apac-webinar-deck-acig-pdf old,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
capgemini-2026-retail-trends-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
capgemini-2026-retail-trends-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
capgemini-2026-retail-trends-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
morningstar-2026-outlook-acig-pdf,6,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
nielsen-podcasting-today-aug2025-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
oecd-economic-outlook-acig-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
oecd-health-at-a-glance-2025-acig-pdf,11,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
payments-nz-environmental-scan-2025-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
robeco-5-year-expected-returns-the-stale-renaissance-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
sensor-tower-predictions-for-the-digital-economy-in-2026-acig-pdf,3,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
sg-lunar-new-year-gifting-report-2025-w7z7cro-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
uk-attitudes-to-ai-in-media-report-2025-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
worldpanel-brand-footprint-2025-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
wp-2024-11-id-double-day-report-v2-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
90bbb6f141259489c1a1cfebc200a905a628186c-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2021-post-covid-agenda-pdf,4,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2022-post-covid-shopper-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2023-metaverse-report-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-audio-pdf,5,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-consumer-time-and-attention-pdf,1,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-data-and-advertising-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-discovery-and-generative-ai-pdf,4,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-ecommerce-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-social-video-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-spatial-computing-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-sports-media-and-betting-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-super-users-pdf,4,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-user-generations-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-video-gaming-pdf,5,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-2025-video-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2016-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2017-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2019-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2020-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2021-pdf,4,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2023-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2024-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-and-media-outlook-2025-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
activate-technology-media-outlook-2026-acig-pdf,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
agency-guide-report-criteo-1-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
ai-powered-search-the-next-ecommerce-growth-driver-pdf,1,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
attest-uk-consumer-trends-report-2026-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
capgemini-2026-retail-trends-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
cf091e263a2b6ed29222c5c60b6ed133a90fbe0c-pdf,3,3,gpt-5-mini,No .qa.json visual-defect sidecars retained.
d01c72af1b10260d54ec45e891bfc7af40a041ce-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
d8ca0bf6efb9c703343867f6df0f26a2553aa78f-pdf,3,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
deloitte-tech-trends-2026-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
digital-2024-bangladesh-pdf,1,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
guide-how-to-improve-your-b2b-site-performance-pdf,1,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
ias-industry-pulse-report-2026-acig-pdf,4,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
infographic-ten-takeaways-from-our-2024-sustainability-survey-of-consumers-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
institute-for-canadian-citizenship-retention-trends-in-highly-skilled-immigrants-and-in-demand-occupations-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
kpmg-2026-global-ma-outlook-pdf,1,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
1cpbbo02-jgxksxc8d6lpawtwmsmvs030-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
m-cast-business-culture-trends-report-2026-acig-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
payments-direction-2015-environment-scan-report-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
payments-nz-2018-environmental-scan-refresh-pdf,1,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
payments-nz-consumer-research-2024-report-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
payments-nz-environmental-scan-september-2025-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
q4-2025-quarterly-trends-report-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
stackadapt-retail-marketing-trends-report-2026-pdf,4,4,gpt-5-mini,No .qa.json visual-defect sidecars retained.
uk-attitudes-to-ai-in-media-report-2025-pdf,1,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
worldpanel-brand-footprint-2025-acig-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
wp-2024-11-id-double-day-report-v2-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
