artifact_kind,state,producer,artifact_count,report_count,limitation
analysis_pdf,active,source_prepared,1,1,persisted lineage; reuse-decision event count is not retained
analysis_vector_store,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
artifacts,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_1,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_2,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_3,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_1,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_2,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_3,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
contents_image,active,source_prepared,1,1,persisted lineage; reuse-decision event count is not retained
context_category_fit,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
doc_map,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
findings,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
limitations,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
methods,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
preview_image,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/cover_semantics,active,prompt_family_materialization,1,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/cover_semantics,superseded,prompt_family_materialization,2,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/expert_comment,active,prompt_family_materialization,1,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/expert_comment,superseded,prompt_family_materialization,2,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/insights_candidates,active,prompt_family_materialization,1,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/insights_candidates,superseded,prompt_family_materialization,2,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/insights_final,active,prompt_family_materialization,1,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/insights_final,superseded,prompt_family_materialization,2,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/linkedin_post,active,prompt_family_materialization,1,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/linkedin_post,superseded,prompt_family_materialization,2,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/quotes,active,prompt_family_materialization,1,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/quotes,superseded,prompt_family_materialization,2,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/summary,active,prompt_family_materialization,1,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/summary,superseded,prompt_family_materialization,2,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/context_category_fit,active,prompt_family_materialization,1,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/context_category_fit,superseded,prompt_family_materialization,2,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/doc_map,active,prompt_family_materialization,1,1,persisted lineage; reuse-decision event count is not retained
