stage,outcome,failure_code
category_fit,blocked,[Errno 2] No such file or directory: 'C:\\Programing\\Market lense\\out\\reliability_full_20260810_62d021b3b57440eb8113ff5d5e105578\\2412-activate-technology-and-media-outlook-2025-ecommerce-pdf\\slices\\2412-activate-technology-and-media-outlook-2025-ecommerce-pdf-chart-2-0.png.fingerprint.json.tmp-write-10344'
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
