stage,estimated_cost_usd
artifacts:cover_semantics,0.064994
artifacts:expert_comment,0.084155
artifacts:insights_candidates,0.190005
artifacts:insights_final,0.192898
artifacts:linkedin_post,0.071495
artifacts:quotes,0.126343
artifacts:regenerate:insights_candidates,0.077421
artifacts:regenerate:insights_final,0.095919
artifacts:regenerate:summary,0.029471
artifacts:summary,0.147142
context_category_fit,0.178799
doc_map,0.200509
evidence_packs:findings,0.139536
evidence_packs:limitations,0.147930
evidence_packs:methods,0.160402
evidence_packs:quote_candidates,0.146234
evidence_packs:scope,0.105759
rank_candidates,0.431126
structured_output:regenerate,0.010929
structured_output:repair,0.343764
taxonomy,0.204437
validate:grounding,0.138486
validate:semantic,0.097671
