report_id,publisher_id,source_identity_id,terminal_outcome,terminal_stage,failure_code
1-EtVlnUyPXrb7luj88lSBREJZjPIcDCB,unattributed,4fa971c33046f9e9bd4c7fc6e355e505,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
19BcPSRlpaxSSLFsitNaoRLTUgptmvPq1,unattributed,e169cd62fba4b1311a99cc5ec7db7118,permanent_failure,ingestion,[Errno 2] No such file or directory: 'C:\\Programing\\Market lense\\out\\reliability_full_20260810_62d021b3b57440eb8113ff5d5e105578\\2412-activate-technology-and-media-outlook-2025-ecommerce-pdf\\slices\\2412-activate-technology-and-media-outlook-2025-ecommerce-pdf-chart-2-0.png.fingerprint.json.tmp-write-10344'
1IJJ6ab3oZ04FhYB7ArG1TggUqWLILhws,unattributed,7ded488b89a5b7cf1469a217df3b6761,permanent_failure,ingestion,summary.tldr must be a complete sentence of 1 to 45 words
1IJhpjavmEXAOoSdPqQUsRbBGMPU7cyp0,unattributed,24b8716f5c8b55a31a05780fd74af26f,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
1S9mOwtnk55ar4F4KRLYBwRhsAYW1-vyV,unattributed,e592fff98c0b764a3e2478f03a721fd5,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
1VooWIbaZG6_RtRMcCgfU_reDZgrsit3L,unattributed,4d1421d790f7375607f0d9d7693dae35,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
1WSylL4_O1OrVtXA6SVTr7hjEZPbM8110,unattributed,c1700a375dcfeda145db59a4fb749366,publish_ready,ingestion,
1YWo18NdOzGjRNmTG7C32gnn8dMgFJ1fg,unattributed,3b45ea67fe84772d8121bbc614fe29fe,permanent_failure,ingestion,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
1hYmr26mm2XMt4kXLYTa3u0oN0nKHZNZt,unattributed,e464da6bcc0cf028724ffe94d77efbc9,permanent_failure,ingestion,insights_final did not produce a substantive schema-valid JSON artifact
1iMmqocOUBzzgzM_Eqtu_NgPezptVlWi_,unattributed,d52f931f89023fc5bd936d65cf4f7374,permanent_failure,ingestion,Artifact evidence references contain unknown identifiers
1jJOJaWKlxw3qFz_Ap1pw2-TrEBYtTmTe,unattributed,9cc1864725197ece4f345b08a0051029,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
1mXGpczPyU-BCF9nhgQPsMQ7xoUQ7QGM1,unattributed,044d95ea333a3fb07a95b5c4ba7c0cf4,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
1nrXx69QT4pqye59eEi2CS6WaoZEt9Cb5,unattributed,db68cb5430aa0156d1de8170e7b4b118,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
1rRwLwZRWNWm2FRl8prb4ZOeQHzO0EZG7,unattributed,cbb6e7df67412186b8bc094a424ac890,permanent_failure,ingestion,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
1sIowfhpjK9CTHlUgkCWwgaCQVwIf_Gpn,unattributed,dd8e094f909d76fd4c0fb60761f140c7,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
1snMTUyfA1GMDKMMT5Y8XZs8kivti7m1f,unattributed,78e1a0d9f699bbfeffa57ac189425006,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
1vnLPEBR8UyybsI3WSlAyoWPM2fyjeE2L,unattributed,5fc5f43aff0864393ef3502c3bd2ec77,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
1w47WnDlvZFYsO-Ia3xSI7vOSGNmk2p6h,unattributed,418e354836b4081ea1e30e1b91e7f024,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
1wCC1bJXIhHirxxwtoaBBMuyRKH-vgy8d,unattributed,58aebe24483505e5db9cfaf696159dc2,permanent_failure,ingestion,Artifact evidence references contain unknown identifiers
1yVgurETAbk5nQwOLOlsmLDlnf6lUZml4,unattributed,7934f93819053b33517764110b2dade0,permanent_failure,ingestion,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
