stage,outcome,failure_code
repeat_publication,blocked,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
repeat_publication,blocked,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,Artifact evidence references contain unknown identifiers
repeat_publication,blocked,[Errno 2] No such file or directory: 'C:\\Programing\\Market lense\\out\\reliability_full_20260810_62d021b3b57440eb8113ff5d5e105578\\2412-activate-technology-and-media-outlook-2025-ecommerce-pdf\\slices\\2412-activate-technology-and-media-outlook-2025-ecommerce-pdf-chart-2-0.png.fingerprint.json.tmp-write-10344'
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,summary.tldr must be a complete sentence of 1 to 45 words
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,insights_final did not produce a substantive schema-valid JSON artifact
repeat_publication,blocked,public_metadata_governance_blocked: Public metadata contains placeholder or extraction-leakage values
repeat_publication,blocked,Artifact evidence references contain unknown identifiers
