stage,outcome,count,cohort_size,conversion_percent
acquisition,succeeded,20,20,100.0
admission_preflight,succeeded,20,20,100.0
analysis_complete,failed,1,20,5.0
analysis_complete,succeeded,14,20,70.0
artifact_generation,blocked,4,20,20.0
artifact_generation,succeeded,16,20,80.0
authenticated_readback,blocked,19,20,95.0
candidate_qualification,succeeded,20,20,100.0
category_fit,blocked,1,20,5.0
category_fit,succeeded,19,20,95.0
discovery,succeeded,20,20,100.0
evidence_generation,blocked,1,20,5.0
evidence_generation,succeeded,19,20,95.0
final_html_validation,blocked,5,20,25.0
final_html_validation,succeeded,15,20,75.0
grounding_validation,blocked,5,20,25.0
grounding_validation,failed,1,20,5.0
grounding_validation,succeeded,14,20,70.0
ingestion,permanent_failure,19,20,95.0
ingestion,publish_ready,1,20,5.0
publication_preflight,blocked,19,20,95.0
regeneration,blocked,5,20,25.0
regeneration,failed,1,20,5.0
regeneration,skipped,7,20,35.0
regeneration,succeeded,7,20,35.0
rendering,blocked,5,20,25.0
rendering,succeeded,15,20,75.0
repeat_publication,blocked,19,20,95.0
semantic_validation,blocked,5,20,25.0
semantic_validation,failed,1,20,5.0
semantic_validation,succeeded,14,20,70.0
source_preparation,succeeded,20,20,100.0
source_validation,succeeded,20,20,100.0
structured_output_repair,blocked,1,20,5.0
structured_output_repair,skipped,19,20,95.0
taxonomy,blocked,1,20,5.0
taxonomy,succeeded,19,20,95.0
wordpress_lookup,blocked,19,20,95.0
wordpress_write,blocked,19,20,95.0
