stage,outcome,failure_code
category_fit,blocked,taxonomy did not produce a substantive schema-valid JSON artifact
category_fit,blocked,taxonomy did not produce a substantive schema-valid JSON artifact
category_fit,blocked,card_title_overflow: Complete report title does not fit the approved card title scale
category_fit,blocked,card_key_insights_invalid: Exactly two complete card insights are required
category_fit,blocked,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
