stage,estimated_cost_usd
artifacts:cover_semantics,0.076239
artifacts:expert_comment,0.101187
artifacts:insights_candidates,0.249734
artifacts:insights_final,0.211007
artifacts:linkedin_post,0.081373
artifacts:quotes,0.182631
artifacts:regenerate:expert_comment,0.018545
artifacts:regenerate:insights_candidates,0.197090
artifacts:regenerate:insights_final,0.224697
artifacts:regenerate:linkedin_post,0.006957
artifacts:regenerate:quotes,0.021626
artifacts:regenerate:summary,0.018412
artifacts:summary,0.200948
browser_use_llm_call,0.021846
context_category_fit,0.238769
context_category_fit_repair,0.009079
doc_map,0.231899
evidence_packs:findings,0.170244
evidence_packs:limitations,0.172356
evidence_packs:methods,0.167338
evidence_packs:quote_candidates,0.162175
evidence_packs:scope,0.122374
rank_candidates,0.563783
structured_output:regenerate,0.127832
structured_output:repair,0.586554
taxonomy,0.228800
validate:grounding,0.217237
validate:semantic,0.144947
