report_id,publisher_id,source_identity_id,terminal_outcome,terminal_stage,failure_code
115sTWnEaPvpOo9krsnZqQ6ev5dav-L31,unattributed,4c533260c5185bedc25b2d5c450e39b6,permanent_failure,ingestion,card_key_insights_invalid: Exactly two complete card insights are required
12UH8cwAPjL7s5ZD7XjloUyy5BC-2LtRV,unattributed,4fa971c33046f9e9bd4c7fc6e355e505,publish_ready,ingestion,
18XjxJsiekZkIwm9r7me9iQLnS72MKQHn,unattributed,dd8e094f909d76fd4c0fb60761f140c7,publish_ready,ingestion,
1961uXvA8mramzTWf3UHbz4C5y--IBiAW,unattributed,d5815a8880590a640ab4f46cf8ab7269,publish_ready,ingestion,
1AEUmS5YH9vDUdbL_DeJqxa-eCkEOctAm,unattributed,78e1a0d9f699bbfeffa57ac189425006,publish_ready,ingestion,
1AcXQD-nc-9TwIlLGEh6s-Hi2oGAoEb8E,unattributed,a7511c358c8b912f6228e0350d946913,publish_ready,ingestion,
1CPI7Ay6ig85U5a5s5x72DVvdHb2U8vPH,unattributed,5fc5f43aff0864393ef3502c3bd2ec77,publish_ready,ingestion,
1E0Laq6I9uDo3IY_DygZo_GaJH-MGMYMI,unattributed,b75240e6062919b5616c28b73224acdb,publish_ready,ingestion,
1LORffipx4RaXwnqRbEA89zLpKXGxpDtu,unattributed,b638414df0b1fccea1cd8a93eaf8f5aa,publish_ready,ingestion,
1M5VaPBPbtHQ3ml8p0VrAvv66EvhepMoh,unattributed,cbb6e7df67412186b8bc094a424ac890,publish_ready,ingestion,
1OsXbyNCsNLEjQY9W2Q7G6Js4A2dUm2yS,unattributed,4d1421d790f7375607f0d9d7693dae35,publish_ready,ingestion,
1QZRr-J1F8TF5lYTLGgGMmHZRhw7S1uvR,unattributed,58aebe24483505e5db9cfaf696159dc2,publish_ready,ingestion,
1SxN2Ncv98aXiv7CkTUZ5SHN0XdO3w9i1,unattributed,2601120363b758f9dfe3d2522538db4c,permanent_failure,ingestion,card_title_overflow: Complete report title does not fit the approved card title scale
1Y6gEFvvBcsabWsOX-t0LDxtlDo87Ue3h,unattributed,e34e609dab2daee85096b0fb5d2a51a4,permanent_failure,ingestion,insights_candidates did not produce a substantive schema-valid JSON artifact
1Z_aly8CHsNVujQatuhea4ExEipxentSu,unattributed,e464da6bcc0cf028724ffe94d77efbc9,publish_ready,ingestion,
1_xSIv8iu5YfGbSrY9nq2MjWCnpBgRaaU,unattributed,d52f931f89023fc5bd936d65cf4f7374,permanent_failure,ingestion,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
1bJnQ7jlL722xNU66HHG1T-hM0yFjpa8Z,unattributed,b8de22cbd1abdce394f2390e2815508f,publish_ready,ingestion,
1hD8l1d4iLwzNZ5cBvi1U79rZMBzhnDKK,unattributed,b27f28705fea520267c8b1e8dc125b7f,publish_ready,ingestion,
1iBXRY67jiTsq617mQH0gSmG7ooOwI0w1,unattributed,3b45ea67fe84772d8121bbc614fe29fe,publish_ready,ingestion,
1yBe1G4jo1B9xpKvC-zent6bWiC-jywjU,unattributed,b5da9ad8afa52d0dc4ba12c50d23e699,permanent_failure,ingestion,card_title_overflow: Complete report title does not fit the approved card title scale
