stage,outcome,failure_code
repeat_publication,blocked,card_title_overflow: Complete report title does not fit the approved card title scale
repeat_publication,blocked,card_key_insights_invalid: Exactly two complete card insights are required
repeat_publication,blocked,taxonomy did not produce a substantive schema-valid JSON artifact
repeat_publication,blocked,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
repeat_publication,blocked,insights_candidates did not produce a substantive schema-valid JSON artifact
repeat_publication,blocked,taxonomy did not produce a substantive schema-valid JSON artifact
repeat_publication,blocked,Artifact evidence references contain unknown identifiers
repeat_publication,blocked,card_title_overflow: Complete report title does not fit the approved card title scale
repeat_publication,blocked,card_key_insights_invalid: Exactly two complete card insights are required
repeat_publication,blocked,card_title_overflow: Complete report title does not fit the approved card title scale
repeat_publication,blocked,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
repeat_publication,blocked,insights_candidates did not produce a substantive schema-valid JSON artifact
