stage,record_count
acquisition,40
admission_preflight,40
analysis_complete,19
artifact_generation,27
authenticated_readback,12
candidate_qualification,40
category_fit,27
category_fit_structured_output_repair,1
discovery,40
evidence_generation,27
final_html_validation,20
grounding_validation,27
ingestion,40
publication_preflight,12
regeneration,27
rendering,20
repeat_publication,12
semantic_validation,27
source_preparation,40
source_validation,40
structured_output_repair,27
taxonomy,27
wordpress_lookup,12
wordpress_write,12
