stage,outcome,count,cohort_size,conversion_percent
acquisition,succeeded,40,20,200.0
admission_preflight,succeeded,40,20,200.0
analysis_complete,failed,3,20,15.0
analysis_complete,succeeded,16,20,80.0
artifact_generation,blocked,8,20,40.0
artifact_generation,succeeded,19,20,95.0
authenticated_readback,blocked,12,20,60.0
candidate_qualification,succeeded,40,20,200.0
category_fit,blocked,5,20,25.0
category_fit,succeeded,22,20,110.0
category_fit_structured_output_repair,succeeded,1,20,5.0
discovery,succeeded,40,20,200.0
evidence_generation,blocked,5,20,25.0
evidence_generation,succeeded,22,20,110.0
final_html_validation,blocked,11,20,55.0
final_html_validation,succeeded,9,20,45.0
grounding_validation,blocked,8,20,40.0
grounding_validation,failed,3,20,15.0
grounding_validation,succeeded,16,20,80.0
ingestion,permanent_failure,12,20,60.0
ingestion,publish_ready,28,20,140.0
publication_preflight,blocked,12,20,60.0
regeneration,blocked,8,20,40.0
regeneration,failed,3,20,15.0
regeneration,skipped,8,20,40.0
regeneration,succeeded,8,20,40.0
rendering,blocked,11,20,55.0
rendering,succeeded,9,20,45.0
repeat_publication,blocked,12,20,60.0
semantic_validation,blocked,8,20,40.0
semantic_validation,failed,3,20,15.0
semantic_validation,succeeded,16,20,80.0
source_preparation,succeeded,40,20,200.0
source_validation,succeeded,40,20,200.0
structured_output_repair,blocked,5,20,25.0
structured_output_repair,skipped,21,20,105.0
structured_output_repair,succeeded,1,20,5.0
taxonomy,blocked,5,20,25.0
taxonomy,succeeded,22,20,110.0
wordpress_lookup,blocked,12,20,60.0
wordpress_write,blocked,12,20,60.0
