stage,outcome,failure_code
authenticated_readback,blocked,card_title_overflow: Complete report title does not fit the approved card title scale
authenticated_readback,blocked,card_key_insights_invalid: Exactly two complete card insights are required
authenticated_readback,blocked,taxonomy did not produce a substantive schema-valid JSON artifact
authenticated_readback,blocked,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
authenticated_readback,blocked,insights_candidates did not produce a substantive schema-valid JSON artifact
authenticated_readback,blocked,taxonomy did not produce a substantive schema-valid JSON artifact
authenticated_readback,blocked,Artifact evidence references contain unknown identifiers
authenticated_readback,blocked,card_title_overflow: Complete report title does not fit the approved card title scale
authenticated_readback,blocked,card_key_insights_invalid: Exactly two complete card insights are required
authenticated_readback,blocked,card_title_overflow: Complete report title does not fit the approved card title scale
authenticated_readback,blocked,cover_asset_set_incomplete: Complete cover title text does not fit the medium zone
authenticated_readback,blocked,insights_candidates did not produce a substantive schema-valid JSON artifact
