report,refinement_records,valid_candidates,model,limitation
004-2a931057ae161133-pdf,2,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
007-14753399583bf518-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
008-bbd9417d89fd81c0-pdf,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
011-3dab51f640a0ecf9-pdf,3,2,gpt-5-mini,No .qa.json visual-defect sidecars retained.
013-a4d31aa82f41872e-pdf,2,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
017-f941db63137c1368-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
021-7b6cc5db29d6e0ba-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
023-544660adcff53d93-pdf,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
025-7f9724f024f95930-pdf,8,8,gpt-5-mini,No .qa.json visual-defect sidecars retained.
061-4921809841a74309-pdf,1,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
069-276b5ff5c03c10a2-pdf,6,6,gpt-5-mini,No .qa.json visual-defect sidecars retained.
1ed6vuzeicqwi6ci8uknzul1idkv-kafk,8,8,gpt-5-mini,No .qa.json visual-defect sidecars retained.
1iecphwwv97rksucf1qzt2bh7t54adeq1,6,6,gpt-5-mini,No .qa.json visual-defect sidecars retained.
1injiblyozsmhfhcsdxfw8uk0iswhrqmh,0,0,gpt-5-mini,No .qa.json visual-defect sidecars retained.
1ny43tl30t-fd44u6i5-zznkax0lqskdq,5,5,gpt-5-mini,No .qa.json visual-defect sidecars retained.
1poxml-tpkl2vdmugxtj0tx2e46jccdkw,7,6,gpt-5-mini,No .qa.json visual-defect sidecars retained.
1uschrnh8ylwkgwfgfp-bu7hfzbevfv3n,1,1,gpt-5-mini,No .qa.json visual-defect sidecars retained.
