artifact_kind,state,producer,artifact_count,report_count,limitation
analysis_pdf,active,render_complete,20,20,persisted lineage; reuse-decision event count is not retained
analysis_pdf,superseded,source_prepared,20,20,persisted lineage; reuse-decision event count is not retained
analysis_vector_store,active,analysis_complete,7,7,persisted lineage; reuse-decision event count is not retained
analysis_vector_store,active,render_complete,18,18,persisted lineage; reuse-decision event count is not retained
analysis_vector_store,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
analysis_vector_store,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts,active,analysis_complete,7,7,persisted lineage; reuse-decision event count is not retained
artifacts,active,render_complete,18,18,persisted lineage; reuse-decision event count is not retained
artifacts,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
artifacts,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_1,active,analysis_complete,3,3,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_1,active,render_complete,9,9,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_1,superseded,analysis_complete,11,11,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_1,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_2,active,analysis_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_2,active,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_2,superseded,analysis_complete,4,4,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_2,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_3,active,analysis_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_3,active,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_3,superseded,analysis_complete,3,3,persisted lineage; reuse-decision event count is not retained
artifacts_regen_attempt_3,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_1,active,analysis_complete,3,3,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_1,active,render_complete,9,9,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_1,superseded,analysis_complete,11,11,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_1,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_2,active,analysis_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_2,active,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_2,superseded,analysis_complete,4,4,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_2,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_3,active,analysis_complete,2,2,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_3,active,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_3,superseded,analysis_complete,3,3,persisted lineage; reuse-decision event count is not retained
artifacts_regen_candidate_3,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
contents_image,active,source_prepared,2,2,persisted lineage; reuse-decision event count is not retained
contents_image,superseded,source_prepared,10,10,persisted lineage; reuse-decision event count is not retained
context_category_fit,active,analysis_complete,7,7,persisted lineage; reuse-decision event count is not retained
context_category_fit,active,render_complete,18,18,persisted lineage; reuse-decision event count is not retained
context_category_fit,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
context_category_fit,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
doc_map,active,analysis_complete,5,5,persisted lineage; reuse-decision event count is not retained
doc_map,active,render_complete,20,20,persisted lineage; reuse-decision event count is not retained
doc_map,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
findings,active,analysis_complete,6,6,persisted lineage; reuse-decision event count is not retained
findings,active,render_complete,19,19,persisted lineage; reuse-decision event count is not retained
findings,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
findings,superseded,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
limitations,active,analysis_complete,6,6,persisted lineage; reuse-decision event count is not retained
limitations,active,render_complete,19,19,persisted lineage; reuse-decision event count is not retained
limitations,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
limitations,superseded,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
methods,active,analysis_complete,6,6,persisted lineage; reuse-decision event count is not retained
methods,active,render_complete,19,19,persisted lineage; reuse-decision event count is not retained
methods,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
methods,superseded,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
preview_image,active,analysis_complete,6,6,persisted lineage; reuse-decision event count is not retained
preview_image,active,render_complete,19,19,persisted lineage; reuse-decision event count is not retained
preview_image,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
preview_image,superseded,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/cover_semantics,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/cover_semantics,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/expert_comment,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/expert_comment,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/insights_candidates,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/insights_candidates,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/insights_final,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/insights_final,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/linkedin_post,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/linkedin_post,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/quotes,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/quotes,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/summary,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/summary,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/context_category_fit,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/context_category_fit,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/doc_map,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/doc_map,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/context_category_fit,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/context_category_fit,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
