stage,outcome,failure_code
category_fit,blocked,publish_readiness_failed
category_fit,blocked,publish_readiness_failed
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
category_fit,succeeded,
