stage,outcome,repair_disposition,failure_code
regeneration,blocked,not_required,publish_readiness_failed
regeneration,blocked,not_required,publish_readiness_failed
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
regeneration,succeeded,not_required,
structured_output_repair,blocked,not_required,publish_readiness_failed
structured_output_repair,blocked,not_required,publish_readiness_failed
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
structured_output_repair,succeeded,not_required,
