stage,estimated_cost_usd
artifacts:cover_semantics,0.111110
artifacts:expert_comment,0.127369
artifacts:insights_candidates,0.341822
artifacts:insights_final,0.305913
artifacts:linkedin_post,0.106480
artifacts:quotes,0.231140
artifacts:regenerate:expert_comment,0.014057
artifacts:regenerate:insights_candidates,0.175323
artifacts:regenerate:insights_final,0.213747
artifacts:regenerate:linkedin_post,0.018036
artifacts:regenerate:quotes,0.032242
artifacts:regenerate:summary,0.077100
artifacts:summary,0.263619
browser_use_llm_call,0.750771
context_category_fit,0.309472
context_category_fit_repair,0.042738
doc_map,0.305503
evidence_packs:findings,0.202503
evidence_packs:limitations,0.195769
evidence_packs:methods,0.195384
evidence_packs:quote_candidates,0.209325
evidence_packs:scope,0.156713
rank_candidates,0.270680
structured_output:regenerate,0.105071
structured_output:repair,0.649702
taxonomy,0.383022
taxonomy_repair,0.010429
validate:grounding,0.273326
validate:semantic,0.195849
