stage,outcome,failure_code
final_html_validation,blocked,publish_readiness_failed
final_html_validation,blocked,publish_readiness_failed
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
final_html_validation,succeeded,
