report_id,publisher_id,source_identity_id,terminal_outcome,terminal_stage,failure_code
1597Id8743JAsW3SHd_3WWngRk6X726VX,unattributed,b75240e6062919b5616c28b73224acdb,publish_ready,ingestion,html_exists
166LocR4HCDzBwTfl1dOf6YIdxQZd_u4K,unattributed,4849e3f779935b822d5e1801e3f893cd,publish_ready,ingestion,html_exists
1BKhlmuwCgFMbADrdvP8tB-EvGHFgc7uF,unattributed,8304094fc40d841ec5c167f888f173a5,publish_ready,ingestion,html_exists
1IEcPHWWv97RKsUCF1Qzt2BH7T54aDeq1,unattributed,ec44d7fff4ab79bdfb5874ca0bd27e84,publish_ready,ingestion,html_exists
1LylPDHZYO6pHhUHA-jxNBbflfc1Fr7nC,unattributed,a7511c358c8b912f6228e0350d946913,publish_ready,ingestion,html_exists
1NY43tL30T-fd44U6i5-ZznkAx0LQSkDQ,unattributed,78e1a0d9f699bbfeffa57ac189425006,publish_ready,ingestion,html_exists
1PoXml-tpkL2VDMUgxtj0Tx2e46jccDKW,unattributed,5fc5f43aff0864393ef3502c3bd2ec77,publish_ready,ingestion,html_exists
1Qz2Eay-EiRMMcygOTT9cD_C4_PiMPUpp,unattributed,3851eae3194b7537e376c099d8878f35,permanent_failure,ingestion,publish_readiness_failed
1USCHRNH8yLwKgWFGFp_bU7hfZBeVfv3n,unattributed,d9828dfc3b30401dc3540f2a9807e962,publish_ready,ingestion,html_exists
1V8a4cBK4U3VNAAJVVZsoTnxJib9rmpjW,unattributed,846b4da65d6b7f9cac0d93e4c7c720f1,publish_ready,ingestion,html_exists
1bU1ji5HVxHwPxtdT365UVZ5N10zy0dCE,unattributed,3dddc23aeac8d117883e75b8a0069a1e,publish_ready,ingestion,html_exists
1eD6vUZEICQWi6cI8uKNZuL1idkv-kAfk,unattributed,ebaade2490749e48ab0fcd9f6ad3a420,publish_ready,ingestion,html_exists
1f0jh1SIfd39hxQN21wvQT0mH2IgGklbu,unattributed,293bc81bf585a66dc3b6f8a10bd566f9,publish_ready,ingestion,html_exists
1hkdASxtqI_n27kMgLtlHN6uXxB4XxvxZ,unattributed,1568f77674b99587f8410c35e339be08,publish_ready,ingestion,html_exists
1injIblyoZsMhFhcsDxFw8uk0IsWHRQmh,unattributed,56f43a447b008866bf2ed300d0c993bc,permanent_failure,ingestion,publish_readiness_failed
1iwZS85W9sg1rYwLikwgmi0vmtyh6lUnO,unattributed,c4d234d7440120c86e43e7ad9b52bb69,publish_ready,ingestion,html_exists
1ojaFaRfntjV4BUHPlgrVedwQQ5ycyzeh,unattributed,c84a84de28313b6fba786221d9d7fcb9,publish_ready,ingestion,html_exists
1pL6t1hhdun3Iqenliwi-odc2Rr-EHKx4,unattributed,d10f96b2d26226740cc7e83bd89ed16e,publish_ready,ingestion,html_exists
1vTf0IkhAnB2XHQQmR0-HcoQeEEslv7M2,unattributed,01d3dca3f272300183fd74191d3d8e73,publish_ready,ingestion,html_exists
1y5uWIo-HpEOojg4vdc9dW1e28KIN2z85,unattributed,cf8557f19b87055d324182ea455c18fa,publish_ready,ingestion,html_exists
