stage,outcome,count,cohort_size,conversion_percent
acquisition,succeeded,20,20,100.0
admission_preflight,succeeded,20,20,100.0
artifact_generation,blocked,2,20,10.0
artifact_generation,succeeded,18,20,90.0
authenticated_readback,blocked,2,20,10.0
candidate_qualification,succeeded,20,20,100.0
category_fit,blocked,2,20,10.0
category_fit,succeeded,18,20,90.0
discovery,succeeded,20,20,100.0
evidence_generation,blocked,2,20,10.0
evidence_generation,succeeded,18,20,90.0
final_html_validation,blocked,2,20,10.0
final_html_validation,succeeded,18,20,90.0
grounding_validation,blocked,2,20,10.0
grounding_validation,succeeded,18,20,90.0
ingestion,permanent_failure,2,20,10.0
ingestion,publish_ready,18,20,90.0
publication_preflight,blocked,2,20,10.0
regeneration,blocked,2,20,10.0
regeneration,succeeded,18,20,90.0
rendering,blocked,2,20,10.0
rendering,succeeded,18,20,90.0
repeat_publication,blocked,2,20,10.0
semantic_validation,blocked,2,20,10.0
semantic_validation,succeeded,18,20,90.0
source_preparation,succeeded,20,20,100.0
source_validation,succeeded,20,20,100.0
structured_output_repair,blocked,2,20,10.0
structured_output_repair,succeeded,18,20,90.0
taxonomy,blocked,2,20,10.0
taxonomy,succeeded,18,20,90.0
wordpress_lookup,blocked,2,20,10.0
wordpress_write,blocked,2,20,10.0
