stage,estimated_cost_usd
artifacts:cover_semantics,0.003275
artifacts:editorial_plan,0.003626
artifacts:expert_comment,0.002398
artifacts:insights_candidates,0.005583
artifacts:insights_final,0.005254
artifacts:linkedin_post,0.003670
artifacts:quotes,0.003736
artifacts:summary,0.005842
context_category_fit,0.004042
doc_map,0.003905
evidence_packs:findings,0.002534
evidence_packs:limitations,0.001796
evidence_packs:methods,0.001051
evidence_packs:quote_candidates,0.001367
evidence_packs:scope,0.000996
rank_candidates,0.000838
structured_output:regenerate,0.001653
structured_output:repair,0.008519
taxonomy,0.002148
validate:grounding,0.004636
validate:semantic,0.002045
