stage,estimated_cost_usd
artifacts:cover_semantics,0.003615
artifacts:editorial_plan,0.003418
artifacts:expert_comment,0.002811
artifacts:insights_candidates,0.007025
artifacts:insights_final,0.006553
artifacts:linkedin_post,0.003998
artifacts:quotes,0.003365
artifacts:summary,0.005315
context_category_fit,0.004172
doc_map,0.006559
evidence_packs:findings,0.004901
evidence_packs:limitations,0.002424
evidence_packs:methods,0.002739
evidence_packs:quote_candidates,0.003085
evidence_packs:scope,0.002356
rank_candidates,0.006426
structured_output:repair,0.003086
taxonomy,0.012611
validate:semantic,0.000297
