stage,estimated_cost_usd
artifacts:cover_semantics,0.003439
artifacts:editorial_plan,0.003485
artifacts:expert_comment,0.001959
artifacts:insights_candidates,0.006263
artifacts:insights_final,0.005450
artifacts:linkedin_post,0.003117
artifacts:quotes,0.004342
artifacts:summary,0.005905
context_category_fit,0.003808
doc_map,0.004618
evidence_packs:findings,0.003772
evidence_packs:limitations,0.002397
evidence_packs:methods,0.001648
evidence_packs:quote_candidates,0.001756
evidence_packs:scope,0.001294
rank_candidates,0.001136
rank_candidates:crop_refine,0.001821
structured_output:repair,0.002136
taxonomy,0.002516
validate:semantic,0.000983
