stage,estimated_cost_usd
artifacts:cover_semantics,0.004266
artifacts:editorial_plan,0.004446
artifacts:expert_comment,0.002508
artifacts:insights_candidates,0.007164
artifacts:insights_final,0.006242
artifacts:linkedin_post,0.003252
artifacts:quotes,0.004357
artifacts:regenerate:expert_comment,0.001873
artifacts:regenerate:insights_candidates,0.012861
artifacts:regenerate:insights_final,0.016520
artifacts:summary,0.006868
context_category_fit,0.004510
doc_map,0.004833
evidence_packs:findings,0.003328
evidence_packs:limitations,0.002422
evidence_packs:methods,0.001320
evidence_packs:quote_candidates,0.001904
evidence_packs:scope,0.001272
rank_candidates,0.000897
structured_output:repair,0.022331
taxonomy,0.002725
validate:grounding,0.020270
validate:semantic,0.006499
