stage,estimated_cost_usd
artifacts:cover_semantics,0.003536
artifacts:editorial_plan,0.003641
artifacts:expert_comment,0.002285
artifacts:insights_candidates,0.005718
artifacts:insights_final,0.005541
artifacts:linkedin_post,0.003341
artifacts:quotes,0.003272
artifacts:summary,0.006187
context_category_fit,0.004251
doc_map,0.005909
evidence_packs:findings,0.003650
evidence_packs:limitations,0.002588
evidence_packs:methods,0.001594
evidence_packs:quote_candidates,0.001922
evidence_packs:scope,0.001406
rank_candidates,0.001579
rank_candidates:crop_refine,0.003520
structured_output:regenerate,0.002963
structured_output:repair,0.004886
taxonomy,0.011596
validate:semantic,0.000861
