stage,estimated_cost_usd
artifacts:cover_semantics,0.003374
artifacts:editorial_plan,0.003481
artifacts:expert_comment,0.002581
artifacts:insights_candidates,0.006267
artifacts:insights_final,0.005848
artifacts:linkedin_post,0.003128
artifacts:quotes,0.003097
artifacts:summary,0.005335
context_category_fit,0.003743
doc_map,0.007365
evidence_packs:findings,0.004522
evidence_packs:limitations,0.003122
evidence_packs:methods,0.002994
evidence_packs:quote_candidates,0.003622
evidence_packs:scope,0.002847
rank_candidates,0.004718
rank_candidates:crop_refine,0.002598
structured_output:repair,0.002743
taxonomy,0.004638
validate:semantic,0.001257
