stage,estimated_cost_usd
artifacts:cover_semantics,0.003401
artifacts:editorial_plan,0.003285
artifacts:expert_comment,0.002549
artifacts:insights_candidates,0.005558
artifacts:insights_final,0.005647
artifacts:linkedin_post,0.003690
artifacts:quotes,0.003437
artifacts:regenerate:expert_comment,0.000586
artifacts:summary,0.005309
context_category_fit,0.003812
doc_map,0.005395
evidence_packs:findings,0.005519
evidence_packs:limitations,0.006377
evidence_packs:methods,0.003394
evidence_packs:quote_candidates,0.003387
evidence_packs:scope,0.003032
rank_candidates,0.006481
structured_output:regenerate,0.002490
structured_output:repair,0.014375
taxonomy,0.004859
validate:grounding,0.011022
validate:semantic,0.002338
