stage,estimated_cost_usd
artifacts:cover_semantics,0.003462
artifacts:editorial_plan,0.003745
artifacts:expert_comment,0.002473
artifacts:insights_candidates,0.005585
artifacts:insights_final,0.005374
artifacts:linkedin_post,0.003765
artifacts:quotes,0.003676
artifacts:summary,0.005532
context_category_fit,0.003783
doc_map,0.003222
evidence_packs:findings,0.002087
evidence_packs:limitations,0.001252
evidence_packs:methods,0.001198
evidence_packs:quote_candidates,0.001195
evidence_packs:scope,0.000796
rank_candidates,0.000315
structured_output:regenerate,0.001851
structured_output:repair,0.006653
taxonomy,0.011200
validate:grounding,0.004760
validate:semantic,0.003393
