stage,estimated_cost_usd
artifacts:cover_semantics,0.003909
artifacts:editorial_plan,0.003716
artifacts:expert_comment,0.003016
artifacts:insights_candidates,0.006168
artifacts:insights_final,0.006221
artifacts:linkedin_post,0.003878
artifacts:quotes,0.004379
artifacts:summary,0.006071
context_category_fit,0.003598
doc_map,0.010097
evidence_packs:findings,0.005462
evidence_packs:limitations,0.003800
evidence_packs:methods,0.003591
evidence_packs:quote_candidates,0.003791
evidence_packs:scope,0.004010
rank_candidates,0.001021
structured_output:repair,0.002349
taxonomy,0.004949
validate:semantic,0.000342
