stage,estimated_cost_usd
artifacts:cover_semantics,0.003659
artifacts:editorial_plan,0.003721
artifacts:expert_comment,0.002797
artifacts:insights_candidates,0.006894
artifacts:insights_final,0.005667
artifacts:linkedin_post,0.003584
artifacts:quotes,0.003974
artifacts:summary,0.005956
context_category_fit,0.004317
doc_map,0.008838
evidence_packs:findings,0.006854
evidence_packs:limitations,0.004658
evidence_packs:methods,0.002558
evidence_packs:quote_candidates,0.002945
evidence_packs:scope,0.002291
rank_candidates,0.007100
rank_candidates:crop_refine,0.025443
structured_output:repair,0.002300
taxonomy,0.005554
