action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,767,429,0.000668
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,898,386,0.000643
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,778,441,0.000685
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,903,563,0.000856
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,776,425,0.000665
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,875,538,0.000821
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,805,374,0.00061
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,761,392,0.000623
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,856,651,0.000952
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,856,338,0.000577
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2834,519,0.00119
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2859,615,0.00131
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2850,748,0.001468
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2851,617,0.001311
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2872,619,0.001317
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2863,443,0.001104
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2853,248,0.000868
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2871,1017,0.001795
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2863,615,0.001311
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2876,1081,0.001872
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2857,421,0.001077
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2876,681,0.001392
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2857,245,0.000865
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2870,607,0.001302
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2874,588,0.00128
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2882,615,0.001314
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2870,616,0.001313
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2879,372,0.001022
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2827,587,0.00127
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2845,411,0.001062
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,19986,1297,0.005554
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,22996,3532,0.008838
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,9708,291,0.002291
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,8452,723,0.002558
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,9852,812,0.002945
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,16281,1168,0.004658
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,18437,2639,0.006854
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9602,1997,0.004317
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,15637,495,0.003721
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,15624,708,0.003974
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,16516,2211,0.005956
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,16724,2958,0.006894
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,18157,1696,0.005667
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,17279,169,0.003659
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,6334,1931,0.003584
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3129,1809,0.002797
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,5898,934,0.0023
