stage,estimated_cost_usd
artifacts:cover_semantics,0.002908
artifacts:editorial_plan,0.002883
artifacts:expert_comment,0.001835
artifacts:insights_candidates,0.005870
artifacts:insights_final,0.005012
artifacts:linkedin_post,0.003005
artifacts:quotes,0.002685
artifacts:summary,0.004939
context_category_fit,0.004222
doc_map,0.005893
evidence_packs:findings,0.005500
evidence_packs:limitations,0.003967
evidence_packs:methods,0.003977
evidence_packs:quote_candidates,0.002440
evidence_packs:scope,0.002086
rank_candidates,0.001439
structured_output:repair,0.002184
taxonomy,0.003611
