stage,estimated_cost_usd
artifacts:cover_semantics,0.003860
artifacts:editorial_plan,0.003965
artifacts:expert_comment,0.002686
artifacts:insights_candidates,0.007066
artifacts:insights_final,0.005969
artifacts:linkedin_post,0.003603
artifacts:quotes,0.004146
artifacts:summary,0.005533
context_category_fit,0.004339
doc_map,0.004562
evidence_packs:findings,0.004266
evidence_packs:limitations,0.004084
evidence_packs:methods,0.002416
evidence_packs:quote_candidates,0.002727
evidence_packs:scope,0.002145
rank_candidates,0.001572
rank_candidates:crop_refine,0.002592
structured_output:repair,0.002048
taxonomy,0.003393
validate:semantic,0.001130
