stage,estimated_cost_usd
artifacts:cover_semantics,0.003949
artifacts:editorial_plan,0.003683
artifacts:expert_comment,0.003029
artifacts:insights_candidates,0.006363
artifacts:insights_final,0.006438
artifacts:linkedin_post,0.002583
artifacts:quotes,0.004023
artifacts:summary,0.005931
context_category_fit,0.004056
doc_map,0.003657
evidence_packs:findings,0.002667
evidence_packs:limitations,0.001566
evidence_packs:methods,0.001271
evidence_packs:quote_candidates,0.001428
evidence_packs:scope,0.001060
structured_output:regenerate,0.001961
structured_output:repair,0.003414
taxonomy,0.002425
validate:semantic,0.004158
