stage,estimated_cost_usd
artifacts:cover_semantics,0.003701
artifacts:editorial_plan,0.003527
artifacts:expert_comment,0.001871
artifacts:insights_candidates,0.006457
artifacts:insights_final,0.005660
artifacts:linkedin_post,0.003132
artifacts:quotes,0.003502
artifacts:summary,0.005459
context_category_fit,0.004295
doc_map,0.005004
evidence_packs:findings,0.003836
evidence_packs:limitations,0.001944
evidence_packs:methods,0.001996
evidence_packs:quote_candidates,0.002220
evidence_packs:scope,0.001835
rank_candidates,0.002499
structured_output:regenerate,0.005359
structured_output:repair,0.012074
taxonomy,0.011920
validate:semantic,0.001434
