stage,estimated_cost_usd
artifacts:cover_semantics,0.003802
artifacts:editorial_plan,0.003808
artifacts:expert_comment,0.002019
artifacts:insights_candidates,0.006099
artifacts:insights_final,0.005320
artifacts:linkedin_post,0.003217
artifacts:quotes,0.004215
artifacts:summary,0.005093
context_category_fit,0.004490
doc_map,0.004797
evidence_packs:findings,0.004058
evidence_packs:limitations,0.002547
evidence_packs:methods,0.002419
evidence_packs:quote_candidates,0.002809
evidence_packs:scope,0.002157
rank_candidates,0.000540
structured_output:repair,0.012953
taxonomy,0.003752
validate:grounding,0.005346
validate:semantic,0.003154
