stage,estimated_cost_usd
artifacts:cover_semantics,0.002577
artifacts:editorial_plan,0.003001
artifacts:expert_comment,0.002425
artifacts:insights_candidates,0.004708
artifacts:insights_final,0.003254
artifacts:linkedin_post,0.002358
artifacts:quotes,0.003079
artifacts:summary,0.005699
context_category_fit,0.003784
doc_map,0.005320
evidence_packs:findings,0.004726
evidence_packs:limitations,0.002672
evidence_packs:methods,0.003043
evidence_packs:quote_candidates,0.002942
evidence_packs:scope,0.002465
rank_candidates,0.007405
rank_candidates:crop_refine,0.001437
structured_output:repair,0.004766
taxonomy,0.004575
