stage,estimated_cost_usd
artifacts:cover_semantics,0.004312
artifacts:editorial_plan,0.004404
artifacts:expert_comment,0.002745
artifacts:insights_candidates,0.007045
artifacts:insights_final,0.006949
artifacts:linkedin_post,0.002969
artifacts:quotes,0.004240
artifacts:summary,0.006255
context_category_fit,0.004023
doc_map,0.005378
evidence_packs:findings,0.004017
evidence_packs:limitations,0.003727
evidence_packs:methods,0.002237
evidence_packs:quote_candidates,0.002704
evidence_packs:scope,0.002211
rank_candidates,0.004411
rank_candidates:crop_refine,0.018508
structured_output:regenerate,0.002136
structured_output:repair,0.001977
taxonomy,0.003408
validate:semantic,0.000536
