report_id,estimated_cost_usd,status
cohort-076eca6d31e0c1dcddf0,unattributed,retention_gap
cohort-0a019f840c3f89ad0a96,unattributed,retention_gap
cohort-11b0b55157f7d0636815,unattributed,retention_gap
cohort-2acb4a56e14add5d7717,unattributed,retention_gap
cohort-4b763ae2286ca69fe8ac,unattributed,retention_gap
cohort-5ceb3b4498de7288ce5a,unattributed,retention_gap
cohort-77bc67b2bc98187d9d58,unattributed,retention_gap
cohort-81af3890cd84ece81ef1,unattributed,retention_gap
cohort-86858bdcb370266f26c2,unattributed,retention_gap
cohort-8ef1021c332aa85ba008,unattributed,retention_gap
cohort-979a63a1633a7f2ccc51,unattributed,retention_gap
cohort-9b97626fc83c086961a7,unattributed,retention_gap
cohort-b10ed6c82b76739a806a,unattributed,retention_gap
cohort-b3cb5f66cccda4420be2,unattributed,retention_gap
cohort-b638414df0b1fccea1cd,unattributed,retention_gap
cohort-cbb6e7df67412186b8bc,unattributed,retention_gap
cohort-e854b71d6fb10333b47f,unattributed,retention_gap
cohort-f1652970000cfe246c94,unattributed,retention_gap
cohort-f62048b469dd784e6e7c,unattributed,retention_gap
cohort-fb16d52bb8f60827077c,unattributed,retention_gap
