stage,estimated_cost_usd
artifacts:cover_semantics,0.066243
artifacts:editorial_plan,0.067765
artifacts:expert_comment,0.046046
artifacts:insights_candidates,0.119145
artifacts:insights_final,0.110490
artifacts:linkedin_post,0.065503
artifacts:quotes,0.067435
artifacts:regenerate:linkedin_post,0.010588
artifacts:regenerate:quotes,0.001040
artifacts:regenerate:summary,0.007778
artifacts:summary,0.104009
context_category_fit,0.077597
context_category_fit_repair,0.005516
doc_map,0.120531
evidence_packs:findings,0.087403
evidence_packs:limitations,0.059519
evidence_packs:methods,0.047714
evidence_packs:quote_candidates,0.052305
evidence_packs:scope,0.041838
rank_candidates,0.058890
rank_candidates:crop_refine,0.041948
structured_output:regenerate,0.007578
structured_output:repair,0.146248
taxonomy,0.093737
validate:grounding,0.070158
validate:semantic,0.029628
