report_id,publisher_id,source_identity_id,terminal_outcome,terminal_stage,failure_code
cohort-076eca6d31e0c1dcddf0,Contentstack,source:ac8915b43ea20012f9da2bf3c8150b9f,,,
cohort-0a019f840c3f89ad0a96,Bigcommerce,source:5c922bfa405c19d9cbc9a0a00ea70d1b,,,
cohort-11b0b55157f7d0636815,Merchant Risk Council,source:67f65e9e8a4ad7c658cc6d3a2c4631da,,,
cohort-2acb4a56e14add5d7717,Copyright owned by one or more of the KPMG International entities. KPMG International entities p,source:1ffb71d718276f8a1761fc706a2a3cb3,,,
cohort-4b763ae2286ca69fe8ac,Reuters Institute,source:79cb8c886c55b49bfdec2128d5b25e0b,,,
cohort-5ceb3b4498de7288ce5a,Robeco,source:14e4b564697078fdbf61e999bf7f2d82,,,
cohort-77bc67b2bc98187d9d58,Bain & Company,source:6416ece4ac85fe49d209541676aeab97,,,
cohort-81af3890cd84ece81ef1,Capgemini Research Institute,source:f584854bc13cdca0b0d86327c85f71ff,,,
cohort-86858bdcb370266f26c2,Algolia,source:4ea9ae5709898e763efb0945d8d4fa1e,,,
cohort-8ef1021c332aa85ba008,StackAdapt Inc,source:038b017d7942e0bcce44627e5c9ff227,,,
cohort-979a63a1633a7f2ccc51,Criteo,source:81027fd399837b2cbd3cefa2abca222b,,,
cohort-9b97626fc83c086961a7,DHL eCommerce,source:51ecf17fd1dd14390636cdf033f41edf,,,
cohort-b10ed6c82b76739a806a,Deloitte,source:2bd805b867ad7b0401f2343e63a2787f,,,
cohort-b3cb5f66cccda4420be2,Mintel,source:4903a7aedf42d978f33da5188f523bb6,,,
cohort-b638414df0b1fccea1cd,Adjust,source:8cb648b6bbd9dbae4ec1d915c38cf235,,,
cohort-cbb6e7df67412186b8bc,Activate,source:4d84943bbcfdef81ad8c08f29f6f6b0b,,,
cohort-e854b71d6fb10333b47f,DoubleVerify,source:6c7377bbcd7e21ffe4683dad478a3fad,,,
cohort-f1652970000cfe246c94,SimilarWeb,source:28e4b4d73a69f2c37f70151adf362589,,,
cohort-f62048b469dd784e6e7c,Emplifi,source:dda03b3a0d65814672444674bb59908f,,,
cohort-fb16d52bb8f60827077c,Qualtrics,source:3da816a4e926b7848df636dfec933574,,,
