stage,outcome,count,cohort_size,conversion_percent
admission_preflight,succeeded,20,20,100.0
analysis_complete,failed,1,20,5.0
analysis_complete,succeeded,6,20,30.0
artifact_generation,succeeded,9,20,45.0
candidate_qualification,succeeded,20,20,100.0
category_fit,succeeded,19,20,95.0
category_fit_structured_output_repair,succeeded,1,20,5.0
discovery,succeeded,20,20,100.0
evidence_generation,succeeded,19,20,95.0
final_html_validation,succeeded,2,20,10.0
grounding_validation,failed,1,20,5.0
grounding_validation,succeeded,6,20,30.0
publication_preflight,succeeded,2,20,10.0
regeneration,failed,1,20,5.0
regeneration,skipped,5,20,25.0
regeneration,succeeded,1,20,5.0
rendering,succeeded,2,20,10.0
semantic_validation,failed,1,20,5.0
semantic_validation,succeeded,6,20,30.0
source_preparation,succeeded,20,20,100.0
source_validation,succeeded,20,20,100.0
structured_output_repair,skipped,18,20,90.0
structured_output_repair,succeeded,1,20,5.0
taxonomy,succeeded,20,20,100.0
