stage,outcome,repair_disposition,failure_code
regeneration,failed,targeted_repair,validation_failed
regeneration,skipped,not_required,
regeneration,skipped,not_required,
regeneration,skipped,not_required,
regeneration,skipped,not_required,
regeneration,skipped,not_required,
regeneration,succeeded,targeted_repair,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,skipped,not_required,
structured_output_repair,succeeded,targeted_repair,
