report_id,terminal_outcome,terminal_stage,failure_code
cohort-076eca6d31e0c1dcddf0,failed,,workflow_queue_report_stage_failed
cohort-0a019f840c3f89ad0a96,failed,,schema_reference_missing
cohort-11b0b55157f7d0636815,awaiting_review,,
cohort-2acb4a56e14add5d7717,failed,,workflow_queue_report_stage_failed
cohort-4b763ae2286ca69fe8ac,failed,,workflow_queue_report_stage_failed
cohort-5ceb3b4498de7288ce5a,failed,,soft_copy_claim_provenance_binding_invalid
cohort-77bc67b2bc98187d9d58,failed,,artifact_structured_output_invalid
cohort-81af3890cd84ece81ef1,failed,,workflow_queue_report_stage_failed
cohort-86858bdcb370266f26c2,failed,,soft_copy_claim_provenance_binding_invalid
cohort-8ef1021c332aa85ba008,failed,,schema_reference_missing
cohort-979a63a1633a7f2ccc51,failed,,schema_reference_missing
cohort-9b97626fc83c086961a7,failed,,schema_reference_missing
cohort-b10ed6c82b76739a806a,failed,,workflow_queue_report_stage_failed
cohort-b3cb5f66cccda4420be2,failed,,schema_reference_missing
cohort-b638414df0b1fccea1cd,failed,,artifact_structured_output_invalid
cohort-cbb6e7df67412186b8bc,failed,,schema_reference_missing
cohort-e854b71d6fb10333b47f,failed,,schema_reference_missing
cohort-f1652970000cfe246c94,failed,,evidence_pack_invalid_json
cohort-f62048b469dd784e6e7c,awaiting_review,,
cohort-fb16d52bb8f60827077c,failed,,soft_copy_claim_provenance_bindings_missing
