stage,estimated_cost_usd
artifacts:cover_semantics,0.069503
artifacts:editorial_plan,0.072188
artifacts:expert_comment,0.051193
artifacts:insights_candidates,0.123748
artifacts:insights_final,0.112476
artifacts:linkedin_post,0.064460
artifacts:quotes,0.069611
artifacts:regenerate:expert_comment,0.001532
artifacts:regenerate:insights_candidates,0.038744
artifacts:regenerate:insights_final,0.050878
artifacts:regenerate:quotes,0.003232
artifacts:summary,0.106589
context_category_fit,0.084080
doc_map,0.117988
evidence_packs:findings,0.084487
evidence_packs:limitations,0.061320
evidence_packs:methods,0.051589
evidence_packs:quote_candidates,0.056781
evidence_packs:scope,0.043659
rank_candidates,0.057255
rank_candidates:crop_refine,0.057483
structured_output:regenerate,0.009021
structured_output:repair,0.168572
taxonomy,0.083538
validate:grounding,0.091522
validate:semantic,0.037580
