stage,outcome,count,cohort_size,conversion_percent
admission_preflight,succeeded,20,20,100.0
analysis_complete,failed,5,20,25.0
analysis_complete,succeeded,10,20,50.0
artifact_generation,succeeded,18,20,90.0
candidate_qualification,succeeded,20,20,100.0
category_fit,succeeded,19,20,95.0
discovery,succeeded,20,20,100.0
evidence_generation,succeeded,19,20,95.0
final_html_validation,succeeded,9,20,45.0
grounding_validation,failed,5,20,25.0
grounding_validation,succeeded,10,20,50.0
publication_preflight,succeeded,9,20,45.0
regeneration,failed,5,20,25.0
regeneration,skipped,10,20,50.0
rendering,succeeded,9,20,45.0
semantic_validation,failed,5,20,25.0
semantic_validation,succeeded,10,20,50.0
source_preparation,succeeded,20,20,100.0
source_validation,succeeded,20,20,100.0
structured_output_repair,skipped,19,20,95.0
taxonomy,succeeded,19,20,95.0
