report_id,terminal_outcome,terminal_stage,failure_code
cohort-076eca6d31e0c1dcddf0,failed,,validation_failed
cohort-0a019f840c3f89ad0a96,failed,,validation_failed
cohort-11b0b55157f7d0636815,awaiting_review,,
cohort-2acb4a56e14add5d7717,failed,,soft_copy_claim_provenance_bindings_incomplete
cohort-4b763ae2286ca69fe8ac,awaiting_review,,
cohort-5ceb3b4498de7288ce5a,failed,,publish_readiness_failed
cohort-77bc67b2bc98187d9d58,awaiting_review,,
cohort-81af3890cd84ece81ef1,failed,,validation_failed
cohort-86858bdcb370266f26c2,failed,,soft_copy_claim_provenance_bindings_incomplete
cohort-8ef1021c332aa85ba008,awaiting_review,,
cohort-979a63a1633a7f2ccc51,failed,,soft_copy_claim_provenance_bindings_incomplete
cohort-9b97626fc83c086961a7,failed,,validation_failed
cohort-b10ed6c82b76739a806a,awaiting_review,,
cohort-b3cb5f66cccda4420be2,failed,,openai_bad_request
cohort-b638414df0b1fccea1cd,failed,,soft_copy_claim_provenance_bindings_incomplete
cohort-cbb6e7df67412186b8bc,awaiting_review,,
cohort-e854b71d6fb10333b47f,awaiting_review,,
cohort-f1652970000cfe246c94,failed,,validation_failed
cohort-f62048b469dd784e6e7c,awaiting_review,,
cohort-fb16d52bb8f60827077c,awaiting_review,,
