task_id,event,duration
cli_ingest,drive_list,1473.0
cli_ingest,ingest,1473.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht,report_generate,1468.0
cli_ingest,drive_list,1079.0
cli_ingest,ingest,1079.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq,report_generate,1075.0
cli_ingest,drive_list,958.0
cli_ingest,ingest,958.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV,report_generate,952.0
cli_ingest,drive_list,940.0
cli_ingest,ingest,940.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo,report_generate,937.0
cli_ingest,drive_list,763.0
cli_ingest,ingest,763.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J,report_generate,756.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:artifacts,artifact_generate,517.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:artifacts,artifact_generate,422.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:artifacts,artifact_generate,390.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence,evidence_pack,380.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:evidence,evidence_pack,329.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:artifacts,artifact_generate,327.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence,evidence_pack,320.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:artifacts,artifact_generate,264.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht,extract_candidates,237.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:validation,validation,203.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:evidence,evidence_pack,194.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:validation,validation,166.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:evidence,evidence_pack,151.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J,extract_candidates,124.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:validation:semantic,openai_chat_json,118.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:validation:semantic,semantic_validation,118.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:evidence:doc_map,openai_response,114.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:evidence:doc_map,evidence_pack_step,114.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store,vector_store_upload,113.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:validation,validation,113.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:doc_map,openai_response,111.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:doc_map,evidence_pack_step,111.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:validation,validation,105.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:validation:grounding,openai_response,101.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:artifacts:linkedin_post,openai_response,100.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:artifacts:expert_comment,openai_response,99.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:artifacts:summary,openai_response,91.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:doc_map,openai_response,90.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:doc_map,evidence_pack_step,90.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:artifacts:summary,openai_response,87.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:validation:grounding,openai_response,84.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:artifacts:insights_candidates,openai_response,78.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:artifacts:expert_comment,openai_response,78.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:artifacts:linkedin_post,openai_response,76.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:validation:grounding,openai_response,73.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:findings,openai_response,72.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:findings,evidence_pack_step,72.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV,extract_candidates,71.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:artifacts:summary,openai_response,71.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:artifacts:summary,openai_response,69.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:scope,openai_response,68.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:scope,evidence_pack_step,68.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:validation,validation,66.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:validation:semantic,openai_chat_json,65.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:validation:semantic,semantic_validation,65.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:artifacts:linkedin_post,openai_response,65.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:artifacts:expert_comment,openai_response,64.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:artifacts:insights_final,openai_response,64.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:taxonomy,taxonomy_extract,61.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:taxonomy,openai_response,60.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:validation:grounding,openai_response,60.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:artifacts:expert_comment,openai_response,60.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:limitations,openai_response,57.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:limitations,evidence_pack_step,57.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:artifacts:insights_candidates,openai_response,57.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:limitations,openai_response,56.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:limitations,evidence_pack_step,56.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:artifacts:linkedin_post,openai_response,56.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:evidence:findings,openai_response,56.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:evidence:findings,evidence_pack_step,56.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:artifacts:insights_final,openai_response,56.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:artifacts:toc,openai_response,55.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:artifacts:quotes,openai_response,54.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:quote_candidates,evidence_pack_step,52.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:quote_candidates,openai_response,51.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:artifacts:insights_candidates,openai_response,51.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:artifacts:insights_final,openai_response,50.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:evidence:doc_map,openai_response,50.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:evidence:doc_map,evidence_pack_step,50.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:artifacts:expert_comment,openai_response,50.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J,figure_extract,50.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:quote_candidates,openai_response,49.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:quote_candidates,evidence_pack_step,49.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:artifacts:insights_candidates,openai_response,49.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:evidence:methods,openai_response,49.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:evidence:methods,evidence_pack_step,49.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:artifacts:quotes,openai_response,48.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:evidence:scope,openai_response,48.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:evidence:scope,evidence_pack_step,48.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:taxonomy,openai_response,47.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:taxonomy,taxonomy_extract,47.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:methods,openai_response,45.0
1QUW2Cd3RsIbqdOjEXiNbDygabqOaTcht:vector_store:evidence:methods,evidence_pack_step,45.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:validation:semantic,openai_chat_json,45.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:validation:semantic,semantic_validation,45.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:artifacts:linkedin_post,openai_response,44.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:artifacts:toc,openai_response,43.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:artifacts:insights_candidates,openai_response,43.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:taxonomy,openai_response,42.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:taxonomy,taxonomy_extract,42.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:validation:grounding,openai_response,42.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:evidence:methods,openai_response,41.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:evidence:methods,evidence_pack_step,41.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:evidence:doc_map,openai_response,41.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:evidence:doc_map,evidence_pack_step,41.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:validation:semantic,openai_chat_json,40.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:validation:semantic,semantic_validation,40.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:artifacts:quotes,openai_response,36.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:artifacts:quotes,openai_response,36.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:findings,openai_response,35.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:findings,evidence_pack_step,35.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:evidence:quote_candidates,openai_response,35.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:evidence:quote_candidates,evidence_pack_step,35.0
c21980a9-e033-4987-aec2-4e27273f8414,publish,35.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:artifacts:summary,openai_response,35.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:methods,openai_response,34.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:methods,evidence_pack_step,34.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:artifacts:toc,openai_response,34.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:artifacts:insights_final,openai_response,33.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:evidence:limitations,openai_response,33.0
19mCA5qAAigP3whliVq9Wlt77J4KSADlo:vector_store:evidence:limitations,evidence_pack_step,33.0
1hu5bPOqpGgIPv4jVt1GZxiBsGbogRHEV:vector_store:artifacts:toc,openai_response,32.0
out\morningstar-2026-outlook-acig-pdf.html,publish,32.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:scope,openai_response,31.0
1cOuTjeEGjA_0mVyMAky_S0Lzvb3WFHqq:vector_store:evidence:scope,evidence_pack_step,31.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:taxonomy,taxonomy_extract,31.0
1Qk-y20Ki1-LkUl7AK1iWS3Gj1_Bmqa-J:vector_store:taxonomy,openai_response,30.0
